customer_number,route_number,account_name,address,city,state,zip_code,service_days,avg_wkly_volume,latitude,longitude,uniform_customer
265021,2502-05,APEX Automotive,19841 Hirsch Ct,Anderson,CA,960074910,T,$136 ,40.466728,-122.317749,30
265578,2502-05,Big Valley Sanitation,5551 Eastside Rd,Redding,CA,96001,M,$201 ,40.53491,-122.38366,11
271698,2502-05,Steve Manning Construction,4977 Mountain Lakes Blvd,Redding,CA,960031456,M,$87 ,40.62944,-122.376488,17
273691,2502-05,FN - IPS Oak Mesa,1870 Oak Mesa Ln,Redding,CA,960039610,F,$384 ,40.58081,-122.33042,0
279644,2502-05,7 Eleven,3100 North Street,Anderson,CA,96007,W,$36 ,40.46709,-122.29529,0
284030,2502-05,Premier Towing,6076 CA - 273,Anderson,CA,96007,W,$17 ,40.46425,-122.32275,0
288196,2502-05,Gold Hills Golf Club,"1950 Gold Hills Dr,",Redding,CA,96003,F,$95 ,40.63589,-122.35572,6
313946,2502-05,Mittry Construction,4850 Caterpillar Road,Redding,CA,96003,R,$37 ,40.62601,-122.37812,0
317008,2502-05,Voorwood,2350 Barney Road,Anderson,CA,96007,W,$88 ,40.44341,-122.29155,0
317097,2502-05,Gateway Unified School District,4411 Mountain Lakes Boulevard,Redding,CA,96003,R,$29 ,40.63066,-122.38787,0
257359,2502-05,COR Solid Waste Hazard Rdg,2255 Abernathy Ln,Redding,CA,960038057,F,$5 ,40.575298,-122.314789,5
247561,2502-05,Shasta Lake Motor Pool,4448 Red Bluff Street,Shasta Lake,CA,96019,R,$30 ,40.683894,-122.366326,5
257021,2502-05,Hansens Pressure Washer,3035 Twin View Blvd,Shasta Lake,CA,960192324,R,$62 ,40.659119,-122.357117,10
189813,2502-05,Clear Creek Grocery,7036 Westside Rd,Redding,CA,96001-5217,T,$34 ,40.513111,-122.381203,0
262271,2502-05,Nor Cal Rewinding,4773 Mountain Lakes Blvd,Redding,CA,960031452,M,$37 ,40.632141,-122.379356,10
275549,2502-05,SCOE Transportation Bus Maintenance,3169 S Market St,Redding,CA,960013533,M,$64 ,40.567318,-122.38784,30
285690,2502-05,Grocery Outlet,1981 Hwy 273,Anderson,CA,96007,W,$100 ,40.43903,-122.29141,0
316069,2502-05,Tierra Oaks Golf Club,19700 La Crescenta Drive,Redding,CA,96003,F,$158 ,40.67124,-122.3265,0
317104,2502-05,Grand Oaks Elementary,5309 Grand Avenue,Shasta Lake,CA,96019,R,$82 ,40.68285,-122.35134,0
252235,2502-05,Good News - D/S,2842 S Market St,Redding,CA,960013215,M,$0 ,40.570324,-122.388094,0
227908,2502-05,Panda Express#1522,5000 Rhonda Rd,Anderson,CA,960070000,W,$40 ,40.4315,-122.29007,0
171779,2502-05,Giff's Restaurant,2827 Bechelli Ln,Redding,CA,96002-1922,M,$18 ,40.566219,-122.362694,0
279042,2502-05,COR Elect. Tech C.Creek,2220 Metz Rd,Redding,CA,96001,T,$5 ,40.50335,-122.36777,5
280322,2502-05,V F W Post 9650,3210 W. Center Street,Anderson,CA,96007,W,$23 ,40.45172,-122.30364,0
313288,2502-05,Plumas Bank,2727 Ventura Street,Anderson,CA,96007,W,$30 ,40.4517,-122.2924,0
320233,2502-05,Club Tucker,6241 Churn Creek Road,Redding,CA,96002,W,$32 ,40.48184,-122.30251,0
324443,2502-05,Vic Hannan Landscape Materials,7086 CA-273,Anderson,CA,96007,T,$18 ,40.490897,-122.361359,0
325240,2502-05,Cal Fire,875 Cypress Avenue,Redding,CA,96001,M,$0 ,40.57446,-122.383377,49
325484,2502-05,Waffle Bite,6400 Westside Road,Redding,CA,96001,T,$0 ,40.521436,-122.382591,0
218696,2502-05,Shasta Gateway Center,1699 State Highway 273,Anderson,CA,96007-4282,W,$28 ,40.436154,-122.289558,0
257244,2502-05,COR West Central Landfill Rdg,14095 Clear Creek Rd,Redding,CA,96047,T,$53 ,40.490304,-122.539254,50
257361,2502-05,COR Solid Waste Welding Rdg,2255 Abernathy Ln,Redding,CA,960038057,F,$153 ,40.575298,-122.314789,217
257362,2502-05,COR Rdg Power Plant Maint,17120 Clear Creek Rd,Redding,CA,960015107,T,$21 ,40.503159,-122.422958,7
170857,2502-05,Dr.S Schalo & Bigelow,2315 Bechelli Ln,Redding,CA,96002-0120,M,$83 ,40.573399,-122.362793,1
222251,2502-05,Mission Square Poa,2827 Bechelli Ln,Redding,CA,96002-1922,M,$33 ,40.566278,-122.36269,0
171161,2502-05,Fedex Ground,1497 George Dr,Redding,CA,96003-1461,M,$50 ,40.62859,-122.372994,0
266971,2502-05,Northern CA Charging System,1410 Beltline Rd,Redding,CA,960031410,M,$26 ,40.625992,-122.388344,15
272700,2502-05,Lake Shasta FS - D/S Seasonal Hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,R,$0 ,40.804392,-122.304218,0
275550,2502-05,SCOE Transportation Office,3169 S Market St,Redding,CA,960013533,M,$25 ,40.567318,-122.38784,0
288421,2502-05,Shasta Baptist,6600 Westside Rd,Redding,CA,96001,T,$23 ,40.51912,-122.38329,0
291360,2502-05,Sierra Pacific Industries,19794 Riverside Drive,Anderson,CA,96007,W,$71 ,40.46913,-122.28826,0
317103,2502-05,Shasta Lake Middle School,4620 Vallecito Street,Shasta Lake,CA,96019,R,$125 ,40.67346,-122.36323,0
319710,2502-05,Singh Mobile Services,6100 State Highway 273,Anderson,CA,96007,T,$30 ,40.46553,-122.32453,4
257625,2502-05,Lake Shasta Cruise - Seasonal hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,R,$142 ,40.804394,-122.304215,0
225428,2502-05,Tri Co. Bank  #481,2686 Gateway Dr,Anderson,CA,96007-3530,W,$37 ,40.452572,-122.288773,0
171122,2502-05,Miniature Precision,4488 Mountain Lakes Blvd Ste A,Redding,CA,96003-1445,M,$48 ,40.63137,-122.386169,9
171235,2502-05,Canned Food Co.,2235 Churn Creek Rd,Redding,CA,96002-0731,M,$72 ,40.574994,-122.353094,0
171309,2502-05,Leckey,4963 Mountain Lakes Blvd,Redding,CA,96003-1456,M,$41 ,40.629822,-122.376869,8
279039,2502-05,COR Elect. Tech BLD 3,20055 Viking Way Building #4,Redding,CA,96003,F,$36 ,40.57742,-122.31244,30
322069,2502-05,Bettendorf Trucking,20943 Bettendorf Way,Anderson,CA,96007,W,$105 ,40.42561,-122.27615,45
257624,2502-05,Lake Shasta Caverns - Seasonal hold,20359 Shasta Caverns Rd,Lakehead,CA,960519677,R,$55 ,40.804394,-122.304215,0
